,user,text,favorite_count,retweet_count,created_at
100,JeffBezos,"Not the decision we wanted, but we respect the court’s judgment, and wish full success for NASA and SpaceX on the contract. https://t.co/BeXc4A8YaW",27491,2202,2021-11-04 17:23:16+00:00
101,JeffBezos,Very proud to be one of the founding funders of Prince William’s Earthshot Prize. It’s easy to see how passionate and thoughtful he is about this important work. https://t.co/S0AB9qqVa3,5353,481,2021-11-02 18:44:57+00:00
102,JeffBezos,"(2/2) transnational marine protected area on the planet, covering an area larger than California. Thank you to this group for their boldness on this important work.",1537,171,2021-11-02 11:15:35+00:00
103,JeffBezos,"At #COP26, Lauren and I discussed conservation of land and sea with leaders from Colombia, Ecuador, Panama, Costa Rica, and Bolivia. Together, they oversee one of the most diverse regions on earth. The @BezosEarthFund is working with them to help create the largest (1/2) https://t.co/6MQ2RsAQxC",4917,975,2021-11-02 11:15:33+00:00
104,JeffBezos,"Wonderful meeting with Tuntiak Katan from the Shuar tribe in Ecuador and Solange Bandiaky-Badji, from the Rights and Resources Institute. Indigenous peoples are custodians of over a third of the world’s tropical forests. We must champion their efforts to protect our planet. https://t.co/BPLDpR3xiR",6092,906,2021-11-01 15:32:10+00:00
105,JeffBezos,"The Prince of Wales has been involved in fighting climate change and protecting our beautiful world far longer than most. We had a chance to discuss these important issues on the eve of #COP26 — looking for solutions to heal our world, and how the @BezosEarthFund can help. https://t.co/7zBNnfCav7",4845,450,2021-10-31 21:37:24+00:00
106,JeffBezos,"“Closing my eyes now, I still feel that irresistible tug … pulling my heart from my chest and out over the edge of the world.” - @cboshuizen
https://t.co/iEi4p0djzR",2959,272,2021-10-22 15:30:26+00:00
107,JeffBezos,"Bill, Audrey, Chris, Glen — you’re about to share an experience that will forever change how you view the world. Godspeed. This is how it starts. 🚀 https://t.co/sOaS7YVBuY",12984,905,2021-10-13 12:53:24+00:00
108,JeffBezos,I’m game. https://t.co/JVbuGzztje,13957,913,2021-10-11 14:03:45+00:00
109,JeffBezos,"Listen and be open, but don’t let anybody tell you who you are. This was just one of the many stories telling us all the ways we were going to fail. Today, Amazon is one of the world’s most successful companies and has revolutionized two entirely different industries. https://t.co/MgMsQHwqZl",74947,11207,2021-10-11 03:28:58+00:00
110,JeffBezos,"Anderson laughs through the whole interview. 

Bill Shatner = Legend https://t.co/AdNE0UreRN",2866,258,2021-10-07 15:56:07+00:00
